name,whatsapp_number,phonecall_number
COOL CITY AIRCONDITIONING,0108222978,0108222978
ROYCE ASSETS MANAGEMENT,0182213454,0182213454
AZEEM SHAM RESOURCES,01161841970,01161841970
CRESCENT CLEANING SERVICE,0175313748,0175313748
NURUL ZAKARIAH AIRCON SERVICE,01111629404,01111629404
FLEXCON AIRCOND & ELETRICAL SERVICES,0196499998,0196499998
SAIFI VENTURES SDN BHD,01111938894,01111938894
BAYU UNGGUL AIRCON HOME REPAIRS,0182617876,0182617876
EMAN AIRCOND ENTERPRISE,0198957108,0198957108
CHAMINDA ENTERPRISE,0143692783,0143692783
~ INTELLIGENT ENGINEERING ~,0132988881,0132988881
FBS OUTDOOR SDN BHD,0177465688,0177465688
SOUTH ISLAND VENTURE,0125261421,0125261421
WK SOLUTIONS ENTERPRISE,0125022164,0125022164
FUSION ELECTRICAL SALES & SERVICES,,0172271919
OSK RENO & DECOR,,0163386962
GOLDBRICK SDN BHD,0149716431,0166191086
NTT CONSULTANCY,,0189075178
C,0173655060,0173655060
ORIENTAL GREENWORLD SDN BHD,,0197777932
ZAASUU ENTERPRISE,,0133033625
AKRZ AIRCOND SERVICES,0196573173,0196573173
HUSSAIN AIRCON & ELECTRICAL,,0162563740
RIF SERVICES,0163898064,0105596280
S.E.R. TECHNOLOGY,,0133379636
ZAZA AIRCOND SERVICES,0122057632,0193481903
COOLIZER RESOURCES SDN BHD,0133223782,0172785797
DREAM INNOVATIVE BUILDERS,0162685609,0162685609
SMAR'T HOME SERVICES,0142208529,0142208529
HIGH POINT AIR COND SERVICES,0109744117,01116394117
FA DIRECTION ENTERPRISE,0172233402,0172233402
EJG SERVICES,0182341765,0182341765
TAINIENTERPRISE,01129812049,01129812049
MZK GLOBAL,01169990211,01169990211
LOOK TOWER 9,0182413474,0182413474
MUNTAZ BEGUM PATTANI MEERA ENTERPRISE,0143616905,0143616905
MR CITY CLEANER SERVICE,01128262696,01128262696
WAJEHA AIRCON SOLUTIONS,0182399724,0182399724
ANGKASA WAKTU ENTERPRISE,0142656905,0142656905
MJA INTERNATIONAL SDN BHD,0177700855,0177700855
SKY HOME SERVICES,01162155251,01162155251
ABD AIRCON & ELECTRICAL,0193899144,0193899144
MGM BUILDERS ENTERPRISE,01112381358,01123628258
PERNIAGAAN AFAS,0174262709,0174262709
QURESHI ENTERPRISES,0182622041,01162248786
HAZLINA IT SOLUTION,01162200016,01162200016
MMK SOLUTION,0149667618,01151643550
LKT DELIMA RESOURCES,0182233981,0182233981
ZAYN BRILLIANT RESOURCES,0139286159,0187859156
SL EMPIRE,01111878776,01111878776
DRURAT SOLUTION ENGINEERING,0183507610,0183507610
M.SENTERPRIES,0143174038,0143174038
RAZA CONSTRUCTIONS,0108941904,0108941904
LS ENGINEERING & RENOVATION,,0172231334
NOMI HOME SERVICES,0189776223,0183938056
HOMIGO,0128290450,0128290450
WIRE WORK SERVICE,0179377433,0179377433
DANISHIFFIGLOBAL,0198545686,0198545686
CIMB CWA,,0132921182
ARIBA MERCHANDIZING,0166045255,0166045255
PEMBINAN SERI KEMUNING,01116624837,01163969327
SVASTI ZASANA ENTERPRISE,0149721275,0149721275
M&N SERVICES,0182325681,0138016690
M.DENTERPRISE,0188720972,0188720972
M.H.A.1ENTERPRICE AC SERVICE,01162034804,01162034804
EULER TECHNOLOGY SDN BHD,0169559529,0169559529
DIAMOND GLOBAL ENGINEERING SERVICES,0143493532,0143493532
TRILLION SMART VENTURE,0164565555,0164565555
ANUZAID ENTERPRISE,0172573820,0172573820
IMS TEGUH CONSTRUCTION,0199998414,0199998414
YT SMART CONSTRUCTION,0183762436,01139017629
ZS AIRCOND SERVICE & ELECTRICAL SOLUTIONS,0104258660,0104258660
MMK SOLUTIONS,01139017262,01139017262
MUTEEB RENOVATION,01126002580,01126002580
JUBLINE UJAN THOMAS,0109337031,0109337031
FAS CONTRACT SDN BHD,0166293526,0166293526
MAN COOL SDN BHD,0176307759,0176307759
CLEANWORK SERVICES,0198771181,0198771181
FASTFIX SOLUTION,0165687825,0165687825
R&E AIR COND SPECIALIST,,0122317773
JRS ENERGY,,0102420993
N.S AIR COND SERVICE,,0377729917
ADSYS ENGINEERING,,0380241426
BROADLINK MARKETING SDN BHD,,0162748855
WINSON AIR CONDITIONING,,
ACON AIRCON SERVICING & ENGINEERING,,0124953100
TECHO ENGINEERING,0124585459,0124585459
SHIM MAINTENANCE SERVICES,,0176308487
MUTIARA SERVICES,,0176299684
HSIANG FATT AIR CONDITIONER & SERVICES,,0123791766
MUTIARA SERVICES - CATERING & EVENT,,0176299684
KS AIR COND & RENOVATION SDN BHD,,
KH COOL AIR CONDITIONING SDN BHD,,0122255703
PUJUK HANDYMAN CONTRACTORS,,0176154784
YST ELETRICAL SDN BHD,,0126912183
AZIMAT NIAGA ENT,0192683128,0192683128
ZNZ RENOVATION SERVICE,,0192542716
DAYA ARUS ENGINEERING,,0194300664
NEO TECH SOLUTIONS,,0173456147
GL ELECTRICAL ENGINEERING & RENOVATION,,0166023377
COOLPLUS AIR-COND & ELECTRICAL SERVICES,,0162335737
HANDYMAN CONSTRUCTION AND RENOVATION,,0124090745
HANDYMAN CONSTRUCTION AND RENOVATION,,0124090745
DECHO INTERIOR DESIGN,,0167239389
MULTISUPPLYBIZ™,0103800667,0184001168
UNIX AIRCOND & ELECTRICAL WORK,0166697717,0166697717
MS EQUIPMENT,,01125689571
HOME LOVERS FURNITURE,,0124816875
UPKEEP SERVICES,,0122142468
SUN COOL SYSTEM AIR COND,,0126572066
MULTIAMPLE CONSTRUCTION SDN BHD,0123300621,0123300621
THIRTY ONE HOME AMAZE ENTERPRISE,,0183620208
TONG SING AIR CONDITIONERS,,0125711088
ALVIZ BIZ RESOURCES,,0124476264
YDY INTERIOR DESIGN,,0165996523
R&B SERVICES,,0197069102
TENAGA RAMADHAN,,0342603148
VETRI BUSINESS SOLUTION,0136042020,0378877020
WEI HUA MIRACLE ENTERPRISE,,0127731968
WEI HUA MIRACLE ENTERPRISE,,0127731968
DKR MAJU ENTERPRISE,,0165100970
